Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,AI_Keywords
DOL-0013-2023,DOL,,,Automatic Data Processing Workflow with Form Recognizer,Automatic processing of current complex worflow to extract required data.,Initiation,Classification machine learning model involving computer vision,,Department of Labor,"1. Workflow automation
2. Data extraction
3. Natural language processing
4. Machine learning
5. Keyword identification
6. AI model
7. Intelligent data processing
8. Automated data analysis
9. Text mining
10. Complex data processing"
DOL-0014-2023,DOL,,,Case Recording summarization,Using an open source large language model to summarize publicly available case recording documents which are void of personal identifiable information (PII) or any other sensitive information. This is not hosted in the DOL technical environment and is reviewed by human note takers.,Development and Acquisition,Large language summarization model,,Department of Labor,"Keywords:
1. Large language model
2. Open source
3. Summarization
4. Case recording documents
5. Anonymized data
6. Publicly available
7. Text extraction
8. Keyword generation
9. Human review
10. Document analysis."
DOL-0015-2023,DOL,,,OEWS Occupation Autocoder,The input is state submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human coders. Codes above a certain threshold are appended to the submitted response file and sent back to states to assist them with their SOC code assignment.,Operation and Maintenance,"Natural Langauge Processing, Logistic Regression, Classification",,Department of Labor,"1. Autocoder
2. Standard Occupational Classification (SOC) codes
3. Job title recognition
4. Job description parsing
5. Probability thresholds
6. Recommended code assignment
7. Human coder assistance
8. Keyword extraction
9. State response files
10. AI model for job classification"
DOL-0016-2023,DOL,,,Scanner Data Product Classification,"BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS has begun to use machine learning to label data with ELI codes. The machine learning model takes as input word frequency counts from item descriptions. Logistic regression is then used to estimate the probability of each item being classified in each ELI category based on the word frequency categorizations. The highest probability category is selected for inclusion in the data. Any selected classifications that do not meet a certain probability threshold are flagged for human review.",Operation and Maintenance,"Natural Langauge Processing, Logistic Regression, Classification",,Department of Labor,"1. Machine Learning
2. Logistic Regression
3. Automated Classification
4. Data Labeling
5. Entry Level Item (ELI) Coding
6. Bulk Data Processing
7. Word Frequency Analysis
8. Probability Estimation
9. Human Review
10. Consumer Price Index (CPI) Staff"
DOL-0017-2023,DOL,,,Expenditure Classification Autocoder,Custom machine learning model to assign a reported expense description from Consumer Expenditure Diary Survey respondents to expense classification categories known as item codes.,Development and Acquisition,"Natural Language Processing, Random Forest, Classification",,Department of Labor,"Keywords: Custom machine learning model, expense classification, item codes, reported expense description, Consumer Expenditure Diary Survey, assign, AI use case, keyword extraction, supervised learning, natural language processing"
DOS-0000-2023,DOS,A,,Federal Procurement Data System (FPDS) Auto-Populate Bot,"A/LM collaborated with A/OPE to develop a bot to automate the data entry in the Federal Procurement Data System (FPDS), reducing the burden on post’s procurement staff and driving improved compliance on DATA Act reporting. This bot is now used to update ~300 FPDS awards per week.  A/LM also partnered with WHA to develop a bot to automate closeout reminders for federal assistance grants nearing the end of the period of performance and begin developing bots to automate receiving report validation and customer service inbox monitoring.",,,,Department of State,"1. Bot
2. Automation
3. Data entry
4. Federal Procurement Data System (FPDS)
5. Compliance
6. Data Act reporting
7. Closeout reminders
8. Federal assistance grants
9. Receiving report validation
10. Customer service inbox monitoring"
DOS-0001-2023,DOS,A,,Product Service Code Automation ML Model,"A/LM developed a machine learning model to scan unstructured, user entered procurement data such as Requisition Title and Line Descriptions to automatically detect the commodity and services types being purchased for enhanced procurement categorization.",,,,Department of State,"Keywords:
- Machine learning model
- Unstructured data
- Procurement
- Categorization
- Keyword extraction
- Commodity detection
- Services identification
- Requisition data
- Line descriptions
- Automated classification"
DOS-0002-2023,DOS,A,,Tailored Integration Logistics Management System (ILMS) User Analytics,A/LM plans to use available ILMS transactional data and planned transactions to develop tailored user experiences and analytics to meet the specifics needs of the user at that moment. By mining real system actions and clicks we can extract more meaningful information about our users to simplify their interactions with the system and reduce time to complete their daily actions.,,,,Department of State,"1. LMS
2. User experience
3. Analytics
4. Tailored
5. Mining
6. Real-time data
7. System actions
8. Clicks
9. Simplify interactions
10. Time reduction"
DOS-0003-2023,DOS,A,,Supply Chain Fraud and Risk Models,"A/LM plans to expand current risk analytics through development of AI/ML models for detecting anomalous activity within the Integrated Logistics Management System (ILMS) that could be potential fraud or malfeasance. The models will expand upon existing risk models and focus on key supply chain functions such as: Asset Management, Procure-to-Pay, and Fleet Management.",,,,Department of State,"1. AI/ML models
2. Risk analytics
3. Anomalous activity detection
4. Integrated Logistics Management System (ILMS)
5. Fraud detection
6. Malfeasance detection
7. Supply chain functions
8. Asset Management
9. Procure-to-Pay
10. Fleet Management"
DOS-0004-2023,DOS,A,,Tailored Integration Logistics Management System (ILMS) Automated User Support Bot,ILMS developed and deployed an automated support desk assistant using ServiceNow Virtual Agent to simplify support desk interactions for ILMS customers and to deflect easily resolved issues from higher cost support desk agents.,,,,Department of State,"1. Automated support desk assistant
2. ServiceNow Virtual Agent
3. Simplify support desk interactions
4. ILMS customers
5. Deflect easily resolved issues
6. Higher cost support desk agents
7. AI model
8. Virtual assistant
9. Customer support automation
10. Ticket resolution efficiency"
DOS-0005-2023,DOS,A,,Within Grade Increase Automation,"A Natural Language Processing (NLP) model is used in coordination with Intelligent Character Recognition (ICR) to identify and extract values from the JF-62 form for within grade increase payroll actions. Robotic Process Automation (RPA) is then used to validate the data against existing reports, then create a formatted file for approval and processing.",,,,Department of State,"1. Natural Language Processing (NLP)
2. Intelligent Character Recognition (ICR)
3. JF-62 form
4. Within grade increase payroll actions
5. Robotic Process Automation (RPA)
6. Data validation
7. Formatted file generation
8. Approval process
9. Data processing
10. Keywords extraction"
DOS-0006-2023,DOS,A,,Verified Imagery Pilot Project,"The Bureau of Conflict and Stabilization Operations ran a pilot project to test how the use of a technology service, Sealr, could verify the delivery of foreign assistance to conflict-affected areas where neither U.S. Department of State nor our implementing partner could go.  Sealr uses blockchain encryption to secure photographs taken on smartphones from digital tampering.  It also uses artificial intelligence to detect spoofs, like taking a picture of a picture of something.  Sealr also has some image recognition capabilities.  The pilot demonstrated technology like Sealr can be used as a way to strengthen remote monitoring of foreign assistance to dangerous or otherwise inaccessible areas.",,,,Department of State,"1. Blockchain encryption
2. Image verification
3. Spoof detection 
4. Remote monitoring
5. Artificial intelligence 
6. Image recognition 
7. Foreign assistance verification 
8. Conflict-affected areas 
9. Pilot project
10. Sealr technology"
DOS-0007-2023,DOS,A,,Conflict Forecasting,"CSO/AA is developing a suite of conflict and instability forecasting models that use open-source political, social, and economic datasets to predict conflict outcomes including interstate war, mass mobilization, and mass killings. The use of AI is confined to statistical models including machine learning techniques including tree-based methods, neural networks, and clustering approaches.",,,,Department of State,"1. Conflict forecasting
2. Instability modeling
3. AI statistical models
4. Machine learning techniques
5. Tree-based methods
6. Neural networks
7. Clustering approaches
8. Interstate war prediction
9. Mass mobilization forecasting
10. Mass killings prediction"
DOS-0008-2023,DOS,CGFS,,Automatic Detection of Authentic Material,The Foreign Service Institute School of Language Studies is developing a tool for automated discovery of authentic native language texts classified for both topic and Interagency Language Roundtable (ILR) proficiency level to support foreign language curriculum and language testing kit development.,,,,Department of State,"Keywords:
1. Automated discovery
2. Native language texts
3. Interagency Language Roundtable (ILR)
4. Proficiency level
5. Foreign language curriculum
6. Language testing kit development."
DOS-0009-2023,DOS,CSO,,Automated Burning Detection,The Village Monitoring System program uses AI and machine learning to conduct daily scans of moderate resolution commercial satellite imagery to identify anomalies using the near-infrared band.,,,,Department of State,"1. Village Monitoring System
2. AI
3. Machine learning
4. Satellite imagery
5. Anomaly detection
6. Near-infrared band
7. Commercial satellite imagery
8. Daily scans
9. Keywords extraction
10. Moderate resolution"
DOS-0010-2023,DOS,CSO,,Automated Damage Assessments,"The Conflict Observatory program uses AI and machine learning on moderate and high-resolution commerical satellite imagery to document a variety of war crimes and other abuses in Ukraine, including automated damage assessments of a variety of buildings, including critical infrastructure, hospitals, schools, crop storage facilities.",,,,Department of State,"Keywords:
1. Conflict Observatory
2. AI
3. Machine learning
4. Commercial satellite imagery
5. War crimes
6. Abuse documentation
7. Automated damage assessments
8. Critical infrastructure
9. Hospitals
10. Schools"
DOS-0011-2023,DOS,CSO,,ServiceNow AI-Powered Virtual Agent (Chatbot),IRM’s BMP Systems is planning to incorporate ServiceNow’s Virtual Agent into our existing applications to connect users with support and data requests. The Artificial Intelligence (AI) is provided by ServiceNow as part of their Platform as a Service (PaaS).,,,,Department of State,"1. Virtual Agent
2. ServiceNow
3. Artificial Intelligence
4. Platform as a Service
5. Support requests
6. Data requests
7. Connection with users
8. Existing applications
9. IRM’s BMP Systems
10. Incorporation"
DOS-0012-2023,DOS,CSO,,Apptio,Working Capital Fund (IRM/WCF) uses Apptio to bill bureaus for consolidated services run from the WCF. Cost models are built in Apptio so bureaus can budget for the service costs in future FYs. Apptio has the capability to extrapolate future values using several available formulas.,,,,Department of State,"1. Predictive modeling
2. Cost forecasting
3. Budgeting
4. Financial analysis
5. AI billing
6. Cost modeling
7. Future value extrapolation
8. Service cost estimation
9. Financial planning
10. Machine learning for finance"
DOS-0013-2023,DOS,F,,NLP for Foreign Assistance Appropriations Analysis,Natural language processing application for F/RA to streamline the extraction of earmarks and directives from the annual appropriations bill. Before NLP this was an entirely manual process.,,,,Department of State,"1. Natural Language Processing (NLP)
2. Financial Regulations Analysis (F/RA)
3. Earmark extraction
4. Directives extraction
5. Annual appropriations bill
6. Streamlining process
7. Manual process automation
8. Keyword extraction
9. Text analysis
10. Data parsing"
DOS-0014-2023,DOS,FSI,,eRecords M/L Metadata Enrichment,"The Department’s central eRecords archive leverages machine learning models to add additional metadata to assist with record discovery and review. This includes models for entity extraction, sentiment analysis, classification and identifying document types.",,,,Department of State,"1. Machine Learning
2. Metadata
3. Entity Extraction
4. Sentiment Analysis
5. Classification
6. Document Types
7. Record Discovery
8. Review
9. AI Model
10. eRecords Archive"
DOS-0015-2023,DOS,GPA,,Facebook Ad Test Optimization System,GPA’s production media collection and analysis system that pulls data from half a dozen different open and commercial media clips services to give an up-to-date global picture of media coverage around the world.,,,,Department of State,"1. Media analysis
2. Data collection
3. AI model
4. Global coverage
5. Open source
6. Commercial media
7. Data extraction
8. Automated analysis
9. Real-time updates
10. Production system"
DOS-0016-2023,DOS,GPA,,Global Audience Segmentation Framework,A prototype system that collects and analyzes the daily media clips reports from about 70 different Embassy Public Affairs Sections.,,,,Department of State,"1. Natural Language Processing (NLP)
2. Text Mining
3. Data Analysis
4. Keyword Extraction
5. Embassy Public Affairs
6. Media Monitoring
7. Prototype System
8. Daily Reports
9. Information Extraction
10. AI Application"
DOS-0017-2023,DOS,GPA,,Machine-Learning Assisted Measurement and Evaluation of Public Outreach,"GPA’s production system for collecting, analyzing, and summarizing the global digital content footprint of the Department.",,,,Department of State,"1. Production system
2. AI model
3. Global digital content
4. Department
5. Collecting
6. Analyzing
7. Summarizing
8. Footprint
9. Application
10. Purpose"
DOS-0018-2023,DOS,GPA,,GPATools and GPAIX,GPA’s production system for testing potential messages at scale across segmented foreign sub-audiences to determine effective outreach to target audiences.,,,,Department of State,"1. GPA 
2. Production system 
3. Testing 
4. Messages 
5. Segmented 
6. Foreign sub-audiences 
7. Effective outreach 
8. Target audiences 
9. AI model 
10. Scale testing"
DOS-0019-2023,DOS,IRM,,AI Capabilities Embedded in SMART,"Models have been embedded in the backend of the SMART system on OpenNet to perform entity extraction of objects within cables, sentiment analysis of cables, keyword extraction of topics identified within cables, and historical data analysis to recommend addressees and passlines to users when composing cables.",,,,Department of State,"1. Entity extraction
2. Sentiment analysis
3. Keyword extraction
4. Historical data analysis
5. SMART system
6. OpenNet
7. Cables
8. Addressees recommendation
9. Passlines recommendation
10. User composing assistance"
DOS-0020-2023,DOS,PM,,NLP to pull key information from unstructured text,Use NLP to extract information such as country names and agreement dates from dozens of pages of unstructured pdf document,,,,Department of State,"Keywords:
1. NLP
2. Information extraction
3. Country names
4. Agreement dates
5. Unstructured PDF
6. Keyword extraction
7. AI model identification
8. Primary application
9. Use case
10. Functional classification"
DOS-0021-2023,DOS,PM,,K-Means clustering into tiers,Cluster countries into tiers based off data collected from open source and bureau data using k-means clustering,,,,Department of State,"Keywords:
1. K-means clustering
2. Country tiering
3. Open source data
4. Bureau data
5. AI model
6. Data collection
7. Application
8. Keywords extraction
9. Unsupervised learning
10. Data analysis"
DOS-0022-2023,DOS,R,,Optical Character Recognition – text extraction,Extract text from images using standard python libraries; inputs have been websites to collect data,,,,Department of State,"1. Text extraction
2. Image processing
3. Python libraries
4. Website data collection
5. Keyword extraction
6. AI model identification
7. Data processing
8. Natural language processing
9. Image recognition
10. Information retrieval"
DOS-0023-2023,DOS,R,,Topic Modeling,Cluster text into themes based on frequency of used words in documents; has been applied to digital media articles as well as social media posts; performed using available Python libraries,,,,Department of State,"1. Text clustering
2. Frequency analysis
3. Natural language processing
4. AI model
5. Digital media analysis
6. Social media content
7. Python libraries
8. Theme extraction
9. Keyword identification
10. Document analysis"
DOS-0024-2023,DOS,R,,forecasting,"using statistical models, projecting expected outcome into the future; this has been applied to COVID cases as well as violent events in relation to tweets",,,,Department of State,"1. Statistical models
2. Projection
3. COVID cases
4. Violent events
5. Tweets
6. Expected outcome
7. Future
8. AI model
9. Application
10. Purpose"
DOS-0025-2023,DOS,R,,Deepfake Detector,"Deep learning model that takes in an image containing a person’s face and classifies the image as either being real (contains a real person’s face) or fake (synthetically generated face, a deepfake often created using Generative Adversarial Networks).",,,,Department of State,"1. Deep learning model
2. Image classification
3. Face recognition
4. Real vs. fake detection
5. Synthetic images
6. Deepfake detection
7. Generative Adversarial Networks (GANs)
8. AI image analysis
9. Authentication
10. Fraud detection"
DOS-0026-2023,DOS,R,,SentiBERTIQ,"GEC A&R uses deep contextual AI of text to identify and extract subjective information within the source material. This sentiment model was trained by fine-tuning a multilingual, BERT model leveraging word embeddings across 2.2 million labeled tweets spanning English, Spanish, Arabic, and traditional and simplified Chinese. The tool will assign a sentiment to each text document and output a CSV containing the sentiment and confidence interval for user review.",,,,Department of State,"1. Deep contextual AI
2. Sentiment analysis
3. Text extraction
4. Multilingual BERT model
5. Word embeddings
6. Fine-tuning
7. Subjective information
8. Confidence interval
9. User review
10. Keyword extraction"
DOS-0027-2023,DOS,R,,TOPIQ,"GEC A&R’s TOPIQ tool automatically classifies text into topics for analyst review and interpretation. The tool uses Latent Dirichlet Allocation (LDA), a natural language processing technique that uncovers a specified number of topics from a collection of documents, and then assigns the probability that each document belongs to a topic.",,,,Department of State,"1. Latent Dirichlet Allocation (LDA)
2. Natural Language Processing
3. Topic Classification
4. Text Analysis
5. Automatic Classification
6. Analyst Review
7. Interpretation
8. Document Collection
9. Probability Assignment
10. Keyword Extraction"
DOS-0028-2023,DOS,R,,Text Similarity,GEC A&R’s Text Similarity capability identified different texts that are identical or nearly identical by calculating cosine similarity between each text. Texts are then grouped if they share high cosine similarity and then available for analysts to review further.,,,,Department of State,"1. Text Similarity
2. Cosine Similarity
3. Grouping
4. Identical Texts
5. Analyst Review
6. Keyword Extraction
7. AI Model
8. GEC A&R
9. Machine Learning
10. NLP (Natural Language Processing)"
DOS-0029-2023,DOS,R,,Image Clustering,"Uses a pretrained deep learning model to generate image embeddings, then uses hierarchical clustering to identify similar images.",,,,Department of State,"1. Pretrained Deep Learning Model
2. Image Embeddings
3. Hierarchical Clustering
4. Similar Images Identification
5. AI Model Application
6. Image Recognition
7. Keyword Extraction
8. Neural Networks
9. Unsupervised Learning
10. Visual Similarity Detection"
DOS-0030-2023,DOS,R,,Louvain Community Detection,"Takes in a social network and clusters nodes together into “communities” (i.e., similar nodes are grouped together)",,,,Department of State,"1. Social network analysis
2. Node clustering
3. Community detection
4. AI model
5. Graph analysis
6. Node similarity
7. Network segmentation
8. Keyword extraction
9. Community identification
10. Clustering algorithm"
DOT-0000-2023,DOT,ANG,,Remote Oceanic Meteorological Information Operations (ROMIO),"ROMIO is an operational demonstration to evaluate the feasibility to uplink convective weather information to aircraft operating over the ocean and remote regions. Capability converted weather satellite data, lightning and weather prediction model data into areas of thunderstorm activity and cloud top heights. AI is used to improve the accuracy of the output based on previous activity compared to ground truth data.",Technical transfer of capability to industry planned this summer.,"AI, ML via a Convolutional Neural Network",,Department of Transportation,"1. Convective weather
2. Uplink
3. Weather satellite data
4. Lightning detection
5. Weather prediction model
6. Thunderstorm activity
7. Cloud top heights
8. Accuracy improvement
9. Ground truth data
10. Operational demonstration."
DOT-0001-2023,DOT,ANG,,Determining Surface Winds with Machine Learning Software,Successfully demonstrated use of an AI capability to analyze camera images of a wind sock to produce highly accurate surface wind speed and direction information in remote areas that don’t have a weather observing sensor.,Successfully tested but not in production.,AI,,Department of Transportation,"1. AI capability
2. camera images analysis
3. wind sock
4. surface wind speed
5. wind direction information
6. remote areas
7. weather observing sensor
8. highly accurate
9. AI model
10. primary application"
DOT-0002-2023,DOT,ATO,,Surface Report Classifiier (SCM/Auto-Class),"SCM classifies surface incident reports by event type, such as Runway Incursion, Runway Excursion, Taxiway Incursion/Excursion and categorizes runway incursions further by severity type (Category A, B, C, D, E)",Refinments planned for future release,"Support Vector Machines, Gradient boosting, neural networks, natural language processing",,Department of Transportation,"Keywords:
1. SCM (Surface Incident Classification Model)
2. Incident classification
3. Event type identification
4. Runway incursion severity classification
5. Taxiway incident identification
6. Runway excursion categorization
7. AI model for incident reports
8. Incident severity grading
9. Surface incident analysis
10. Incident type recognition"
DOT-0003-2023,DOT,ATO,,Automated Delay detection using voice processing,"In order to get a full accounting of delay, automated voice detection of ATC and aircraft interaction is required.  Many delay events, such as vectoring, are not currently reported/detected/accounted for and voice detection would enable automated detection.",Initial development,Natural Language Processing;,,Department of Transportation,"Automated voice detection, ATC interaction, aircraft interaction, delay accounting, vectoring detection, voice recognition, AI model, automated detection, voice analysis, aviation communication."
DOT-0004-2023,DOT,AVS,,Regulatory Compliance Mapping Tool,"The AVS International office is required to identify means of compliance to ICAO Standards and Recommended Practices (SARPs).  Both SARPs and means of compliance evidence are text paragraphs scattered across thousands of pages of documents.  AOV identified a need to find each SARP, evaluate the text of many FAA Orders, and suggest evidence of compliance based upon the evaluation of the text.  The base dataset used by RCMT is the documents’ texts deconstructed into paragraphs.  RCMT processes all the documents’ paragraphs run through Natural Language Processing (NLP) (this process has an AI aspect) to extract the meaning (semantics) of the text.    RCMT then employs a recommender system (also using some AI technology) to take the texts augmented by the texts’ meaning to establish candidate matches between the ICAO SARPs and FAA text that provides means of compliance.",User Acceptance Testing to begin early spring '22,"ML (Recommender Algorithim) , NLP,",,Department of Transportation,"1. Natural Language Processing (NLP)
2. Recommender system
3. Semantic extraction
4. AI technology
5. Text analysis
6. Compliance identification
7. Document processing
8. Means of compliance
9. ICAO SARPs
10. FAA text matching"
DOT-0005-2023,DOT,AVS,,JASC Code classification in Safety Difficulty Reports (SDR),"AVS identified a need to derive the joint aircraft system codes (JASC) chapter codes from the narrative description within service difficulty reports (SDR), a form of safety event reporting from aircraft operators. A team of graduate students at George Mason University collaborated with AVS employees to apply Natural Language Processing (NLP) and Machine Learning to predict JASC codes. This method can be used to check SDR entries to ensure the correct codes were provided or to assign a code when one was not.",,"NLP, ML Classification",,Department of Transportation,"1. Natural Language Processing (NLP)
2. Machine Learning
3. Aircraft system codes
4. Service Difficulty Reports (SDR)
5. Safety event reporting
6. Predictive modeling
7. Code assignment
8. Keyword extraction
9. Text analysis
10. Graduate student collaboration"
DOT-0006-2023,DOT,Aviation Safety (AVS),,Course Deviation Identification for Multiple Airport Route Separation (MARS),"The Multiple Airport Route Separation (MARS) program is developing a safety case for reduced separation standards between Performance Based Navigation (PBN) routes in terminal airspace. These new standards may enable deconfliction of airports in high-demand metropolitan areas, including the Northeast Corridor (NEC), North Texas, and Southern California. To build necessary collision risk models for the safety case, several models are needed, including one that describes the behavior of aircraft that fail to navigate the procedure correctly. These events are very rare and difficult to identify with standard data sources. Prior work has used Machine Learning to filter incident data to identify similar events on departure procedures.",,"Python in Jupyter Labs, ML, NLP",,Department of Transportation,"1. Machine Learning
2. Safety Case
3. Collision Risk Models
4. Performance Based Navigation (PBN)
5. Terminal Airspace
6. Deconfliction of Airports
7. Rare Events Identification
8. Data Filtering
9. Incident Data Analysis
10. Departure Procedures"
DOT-0007-2023,DOT,NSR Human Injury Research Division,,Machine Learning for Occupant Safety Research,"Description: Utilize deep learning models for predicting head kinematics directly from crash videos. The utilization of deep learning techniques enables the extraction of 3D kinematics from 2D views, offering a viable alternative for calculating head kinematics in the absence of sensors or when sensor availability is inadequate, and when high-quality sensor data is absent
Input:  Vehicle crash videos
Output: Angular velocity - injury prediction",Proof of Concept completed and published,"Deep learning models - Convolutional Neural Networks, Long-Short Term Memory based Recurrent Neural Networks",,Department of Transportation,"Keywords:
1. Deep Learning
2. Predictive Modeling
3. Head Kinematics
4. Crash Videos
5. 3D Kinematics Extraction
6. Angular Velocity Prediction
7. Injury Prediction
8. Sensorless Analysis
9. Video Processing
10. Kinematic Data Acquisition"
DOT-0008-2023,DOT,NSR Human Injury Research Division,,Machine Learning for Occupant Safety Research,"Description: Utilize deep learning for predicting crash parameters, Delta-V (change in velocity) and PDOF (principal direction of force), directly from real-world crash images. Delta-V and PDOF are two most important parameters affecting injury outcome. Deep learning models can help predict both Delta-V and PDOF, without the need to run WinSmash software for Delta-V computation, and without requiring estimations by crash examiners.  Moreover, with deep learning models, the Delta-V and PDOF can be obtained within milliseconds, providing rapid results for improved efficiency""
Input:  Real world crash images
Output:  Delta-V & PDOF",Currently under development,Deep learning models - Convolutional Neural Networks,,Department of Transportation,"Keywords:
1. Deep Learning
2. Crash Prediction
3. Delta-V Prediction
4. PDOF Prediction
5. Image Analysis
6. Rapid Results
7. Injury Outcome
8. Efficiency Improvement
9. Real-world Data
10. Machine Learning Model"
DOT-0009-2023,DOT,NextGen (ANG),,Offshore Precipitation Capability (OPC),"OPC leverages data from several sources such as weather radar, lightning networks, satellite and numerical models to produce a radar-like depiction of precipitation. The algorithm then applies machine learning techniques based on years of satellite and model data to improve the accuracy of the location and intensity of the precipitation areas.","OPC runs in a pseudo-operational capacity via a webpage maintained by the Massachusetts Institute of Technology - Lincoln Lab, as well as in a test and evaluation capacity in a research mode.","AI, ML via a Convolutional Neural Network",,Department of Transportation,"1. AI model: Machine learning
2. Application: Precipitation forecasting
3. Data sources: Weather radar, lightning networks, satellite, numerical models
4. Algorithm: Radar-like depiction
5. Feature: Location accuracy
6. Feature: Intensity accuracy
7. Satellite data
8. Model data
9. Weather forecasting
10. Numerical modeling"
DOT-0010-2023,DOT,"Office of Research, Development and Technology",,Development of Predictive Analytics Using Autonomous Track Geometry Measurement System (ATGMS) Data,"Description: Leveraging large volumes of these recursive track geometry measurements to develop and implement automated machine-learning-based processes for analyzing, predicting, and reporting track locations of concern, including those with significant rates of degradation.
Input: Track geometry measurements and exceptions
Output: Inspection report that includes the trending of track geometry measures and time to failure (i.e., maintenance and safety limits).",,,,Department of Transportation,"Keywords:
1. Machine learning
2. Predictive analysis
3. Track geometry
4. Maintenance
5. Trend analysis
6. Degradation prediction
7. Automated inspection
8. Time to failure
9. Safety limits
10. AI model"
DOT-0011-2023,DOT,"Office of Research, Development and Technology",,Crushed Aggregate Gradation Evaluation System,"Description: Deep learning computer vision algorithms aimed at analyzing aggregate particle size grading.
Input: Images of ballast cross sections
Output: Ballast fouling index",,,,Department of Transportation,"1. Deep learning
2. Computer vision
3. Aggregate particle size grading
4. Ballast cross sections
5. Ballast fouling index
6. Image analysis
7. AI model
8. Data processing
9. Keyword extraction
10. Object detection"
DOT-0012-2023,DOT,"Office of Research, Development and Technology",,Automatic Track Change Detection Demonstration and Analysis,"Description: DeepCNet-based neural network to identify and classify track-related  features (e.g., track components, such as fasteners and ties) for ""change detection"" applications.
Input: Line-scan images from rail-bound inspection systems
Output: Notification of changes from status quo or between different inspections based on geolocation.",,,,Department of Transportation,"Keywords:
1. DeepCNet-based neural network
2. track-related features
3. change detection
4. Line-scan images
5. rail-bound inspection systems
6. classification
7. identification
8. geolocation
9. notification system
10. fasteners and ties"
DOT-0013-2023,DOT,PHMSA Office of Chief Counsel (PHC),,PHMSA Rule Making,"Artificial Intelligence Support for Rulemaking - Using ChatGPT to support the rulemanking processes to provide significant efficiencies, reduction of effort, or the ability to scale efforts for unusual levels of public scrutiny or interest (e.g. comments on a rulemaking).    ChatGPT will be used to provide: 
1.  Sentiment Analysis – Is the comment positive / negative or neutral towards the proposed rule.
2.  Relevance Analysis – Whether the particular comment posted is relevant to the proposed rule
3.  Synopsis of the posted comment.
4.  Cataloging of comments.
5.  Identification of duplicate comments.",This is a pilot initiative,"ChatGPT, NLP",,Department of Transportation,"1. ChatGPT
2. Sentiment Analysis
3. Relevance Analysis
4. Comment Synopsis
5. Comment Cataloging
6. Duplicate Comment Identification
7. Rulemaking Support
8. Efficiency
9. Scaling Efforts
10. Public Scrutiny"
ED-0000-2023,ED,Federal Student Aid,,Aidan Chat-bot,"FSA's virtual assistant uses natural language processing to answer common financial aid questions and help customers get information about their federal aid on StudentAid.gov.
In just over two years, Aidan has interacted with over 2.6 million unique customers, resulting in more than 11 million user messages.",,,,Department of Education,"1. Virtual assistant
2. Natural language processing
3. Financial aid
4. Customer support
5. Information retrieval
6. User interaction
7. Federal aid
8. FAQ answering
9. StudentAid.gov
10. User messaging"
EPA-0000-2023,EPA,,,Use of random forest model to predict exposure pathways,"Prioritizing the potential risk posed to human health by chemicals requires tools that can estimate exposure from limited information. In this study, chemical structure and physicochemical properties were used to predict the probability that a chemical might be associated with any of four exposure pathways leading from sources-consumer (near-field), dietary, far-field industrial, and far-field pesticide-to the general population. The balanced accuracies of these source-based exposure pathway models range from 73 to 81%, with the error rate for identifying positive chemicals ranging from 17 to 36%. We then used exposure pathways to organize predictions from 13 different exposure models as well as other predictors of human intake rates. We created a consensus, meta-model using the Systematic Empirical Evaluation of Models framework in which the predictors of exposure were combined by pathway and weighted according to predictive ability for chemical intake rates inferred from human biomonitoring data for 114 chemicals. The consensus model yields an R2 of ∼0.8. We extrapolate to predict relevant pathway(s), median intake rate, and credible interval for 479 926 chemicals, mostly with minimal exposure information. This approach identifies 1880 chemicals for which the median population intake rates may exceed 0.1 mg/kg bodyweight/day, while there is 95% confidence that the median intake rate is below 1 μg/kg BW/day for 474572 compounds.
Consensus Modeling of Median Chemical Intake for the U.S. Population Based on Predictions of Exposure Pathways",,,,U.S. Environmental Protection Agency,"Keywords:
- Consensus Modeling
- Chemical Intake Prediction
- Exposure Pathway Analysis
- Human Health Risk Assessment
- Predictive Modeling"
EPA-0001-2023,EPA,,,Records Categorization,The records management technology team is using machine learning to predict the retention schedule for records. The machine learning model will be incorporated into a records management application to help users apply retention schedules when they submit new records.,,,,U.S. Environmental Protection Agency,"1. Machine learning
2. Records management
3. Retention schedule prediction
4. Application integration
5. Records submission
6. Keywords extraction
7. Technology team
8. Data retention
9. AI model
10. Predictive analytics"
EPA-0002-2023,EPA,,,Enforcement Targeting,"EPA’s Office of Compliance, in partnership with the University of Chicago, built a proof-of-concept to improve enforcement of environmental regulations through facility inspections by the EPA and state partners. The resulting predictive analytics showed a 47% improvement of identifying violations of the Resource Conservation and Recovery Act.",,,,U.S. Environmental Protection Agency,"Keywords:
1. Predictive analytics
2. Environmental regulations
3. Facility inspections
4. Enforcement
5. Resource Conservation and Recovery Act
6. EPA
7. Office of Compliance
8. University of Chicago
9. Violations
10. Improvement"
